Matched: 150, skipped (no annotation): 0
[PASS] raw_003471_3818c415 | 5/5 | 简短礼貌回应感谢，表达服务意愿，符合闲聊收尾场景。
[PASS] raw_028009_b9630665 | 5/5 | 简短礼貌收尾，符合闲聊场景，用户问题已解决。
[FAIL] raw_039961_13998282 | 3/3 | 回复未直接解决正品质疑，未提供防伪码等具体验证方法，仅建议查看卡片和售后，缺乏可操作步骤。
[FAIL] raw_003040_496db22f | 3/4 | 回复方向正确但缺乏具体操作步骤，用户不知道如何查看和下载，未给出可执行路径。
[FAIL] raw_014585_336a2bb8 | 3/3 | 回复未直接解决发货时间问题，未引导查看预计发货时间或催促发货，仅给出模糊时效和通用建议。
[FAIL] raw_043192_b89cb5ed | 3/4 | 回复方向正确但缺乏具体可执行步骤，如未给出催促路径或具体时效，仅建议查看订单和联系客服。
[FAIL] raw_003002_43117416 | 3/3 | 回复给出了预计送达日期，但未提供物流动态或具体可操作步骤，用户无法确认当前状态。
[FAIL] raw_019783_c9b93a90 | 3/4 | 回复方向正确但缺乏具体可操作步骤，未提供领券的具体路径。
[FAIL] raw_016366_9145024e | 3/3 | 未利用历史中两个订单的信息，仅针对当前问题模糊回应，缺乏具体可执行步骤。
[FAIL] raw_048599_f9febd9c | 3/3 | 未利用历史中已安排上门换新的信息，未提及配送员联系约定时间，用户仍需自行操作，缺乏针对性。
[PASS] raw_056095_ad102e06 | 4/5 | 回复准确说明了电子发票开具时间，并引导查看订单详情页，但未直接回答纸质发票邮寄时间，需联系客服，略有不足。
[FAIL] raw_001198_762b1226 | 3/4 | 未利用用户要回老家的紧迫感，未给出催促路径，仅建议关注物流，缺乏具体行动指引。
[PASS] raw_006639_5f3f9745 | 5/5 | 直接回答缺货和预计发货时间，给出可操作建议，语气礼貌，无风险。
[FAIL] raw_034699_f6c8b789 | 2/3 | 回复未提供取消申请提交后的具体流程，仅询问信息，缺乏可执行步骤。
[FAIL] raw_025447_7aac8e55 | 3/4 | 回复方向正确但缺乏具体可操作步骤，如未说明如何联系售后、未提供热线号码或在线渠道。
[FAIL] raw_040714_f027f438 | 2/3 | 回复仅安抚未给出具体核查路径，用户不知下一步如何操作。
[FAIL] raw_050373_074a0643 | 3/3 | 回复未直接解释退款差额原因，仅建议申请换货，缺乏具体可执行步骤，如查看售后单状态和金额明细。
[PASS] raw_021322_d547299d | 4/4 | 回复根据出库状态给出具体方案，符合预期，但未提及未出库可尝试修改地址，略有不足。
[PASS] raw_011080_0a3d577e | 4/5 | 回复确认用户测试原装线，并给出后续路径，利用历史信息，语气礼貌，无风险。
[PASS] raw_041767_dcdbabc0 | 4/5 | 回复直接指导用户查看PLUS会员页面，给出了具体路径，利用了历史信息，语气礼貌。
[PASS] raw_058587_ab2fa9df | 5/5 | 回复直接确认用户要求，承诺通知仓库，语气礼貌，符合预期标准。
[FAIL] raw_020989_34781d3d | 3/3 | 回复方向正确但缺乏具体操作步骤，未说明如何联系配送员协商，与人工预期标准有差距。
