Matched: 150, skipped (no annotation): 0
[PASS] raw_003471_3818c415 | 5/5 | 简短礼貌回应感谢，符合闲聊收尾场景，完美。
[PASS] raw_028009_b9630665 | 5/5 | 简短礼貌收尾，符合闲聊场景，用户问题已解决。
[FAIL] raw_039961_13998282 | 3/3 | 回复道歉但未提供具体验证正品方法，如防伪码或官网验证，缺乏可操作步骤。
[PASS] raw_003040_496db22f | 4/5 | 回复给出了具体路径和操作步骤，但未明确订单完成后才能操作，略有瑕疵。
[FAIL] raw_014585_336a2bb8 | 2/1 | 回复编造了具体时效（明天送达），未解决用户催发诉求，且与用户问题不符。
[FAIL] raw_043192_b89cb5ed | 3/4 | 回复方向正确但缺乏具体可执行步骤，未体现尽快安排或催促路径，语气较生硬。
[FAIL] raw_003002_43117416 | 3/3 | 回复给出了预计送达时间，但未提供具体物流动态或查询路径，缺乏可操作性。
[FAIL] raw_019783_c9b93a90 | 2/2 | 回复未提供具体领券路径，仅建议下单，未解决用户直接要券的诉求。
[FAIL] raw_016366_9145024e | 3/3 | 未利用历史中两个订单的信息，回复笼统，缺乏具体可执行步骤。
[FAIL] raw_048599_f9febd9c | 2/2 | 未利用历史中已安排上门换新的信息，反而引导用户重新申请售后，未解决用户对时间的疑问。
[PASS] raw_056095_ad102e06 | 4/5 | 回复直接说明了发票邮寄时间，并引导查看订单详情页，提供了可操作路径。
[FAIL] raw_001198_762b1226 | 3/4 | 回复未提及催促配送或联系站点，缺乏具体可执行步骤，用户仍不知如何加速。
[PASS] raw_006639_5f3f9745 | 4/5 | 直接回答缺货和预计到货时间，给出查看物流和联系客服的路径，但未主动安抚情绪。
[FAIL] raw_034699_f6c8b789 | 2/3 | 回复仅反问用户，未提供任何取消操作指引或流程说明，用户无法直接解决问题。
[PASS] raw_025447_7aac8e55 | 4/4 | 回复给出了安装流程的具体步骤，包括预约、准备材料等，用户可操作，但未提及官方渠道或说明书，略有不足。
[FAIL] raw_040714_f027f438 | 2/3 | 回复仅表示查询跟进，未给出具体可执行路径，未利用历史信息安抚或核查第二次退货情况。
[FAIL] raw_050373_074a0643 | 2/2 | 回复错误地将换货需求引导为退货退款，未解释换货不产生退款，且未提供查看售后单等具体步骤。
[PASS] raw_021322_d547299d | 5/5 | 回复直接给出未出库和已出库两种方案，具体可操作，符合预期标准。
[PASS] raw_011080_0a3d577e | 4/5 | 回复确认用户测试原装线后仍可联系，利用历史信息，给出后续路径，语气礼貌。
[FAIL] raw_041767_dcdbabc0 | 3/4 | 回复方向正确但缺乏具体可操作步骤，未引导用户查看赠送天数，仅建议等待和联系客服。
[PASS] raw_058587_ab2fa9df | 5/5 | 直接承诺备注并优先原装出库，符合用户诉求，语气积极，无风险。
[FAIL] raw_020989_34781d3d | 3/3 | 回复未提及联系配送员协商，而是建议申请修改或取消重下，缺乏具体可执行路径。
[PASS] dev_migrated_raw_019245_83bea3d7 | 5/5 | 回复礼貌确认问题解决，表达服务意愿，符合闲聊收尾场景，利用历史背景。
[FAIL] raw_004780_f9a7dc5a | 3/4 | 未利用历史中已确认退雷达和安装服务的信息，未提及退货时效或二手平台备选，路径不够具体。
[FAIL] raw_061652_767318f8 | 3/4 | 回复方向正确但缺乏具体可执行路径，未明确告知如何申请补偿或查看赔付规则。
[FAIL] raw_012607_7e4e24f6 | 3/3 | 回复方向正确但未给出具体可执行路径，如未说明如何联系厂家或查看售后入口的具体位置。
[FAIL] raw_041517_5b821275 | 3/3 | 未利用历史中用户已申请退款的信息，且未明确告知配送中可取消、签收后自动驳回退款，缺乏具体可执行路径。
[PASS] raw_041299_d1803c37 | 4/4 | 回复给出了具体操作路径，并提示了备选方案，符合人工预期。
[PASS] raw_033287_c94eea81 | 5/5 | 回复确认用户先测试，并给出后续联系渠道，直接解决用户诉求。
[FAIL] raw_008930_228bef92 | 3/4 | 回复方向正确但未给出最直接的可执行路径（取消重新下单），建议不够具体。
[FAIL] raw_038557_c383691e | 2/2 | 回复仅索要订单号，未说明价保规则或提供替代方案，缺乏实质性帮助。
[PASS] raw_029353_169ac2bc | 5/5 | 直接确认无货无法换货，建议退货退款，并给出具体操作路径，完全符合预期。
[PASS] raw_013772_cb9c9b47 | 5/5 | 直接回答了用户能否用订单号去财务拿发票，并给出了具体操作路径，准确且可执行。
[FAIL] raw_039617_2681385d | 2/3 | 回复仅要求提供订单号，未给出具体操作路径，不符合人工标准中确认收货后申请开票的流程。
[FAIL] raw_034908_83283a91 | 2/2 | 回复仅确认可以寄回老家，但未说明如何操作（如修改收货地址），缺乏可执行步骤。
[FAIL] raw_024356_c7546435 | 3/4 | 回复确认了价保概念，但未给出具体操作步骤（如申请入口、周期），缺乏可执行路径。
