Matched: 150, skipped (no annotation): 0
[PASS] raw_003471_3818c415 | 5/5 | 简短礼貌回应感谢，符合闲聊收尾场景，无风险。
[PASS] raw_028009_b9630665 | 5/5 | 简短礼貌收尾，符合闲聊场景，用户问题已解决。
[FAIL] raw_039961_13998282 | 3/3 | 回复未给出具体验证方法（如防伪码、官网），仅建议查看详情页或联系客服，缺乏可操作步骤。
[PASS] raw_003040_496db22f | 5/5 | 回复直接给出了开票的具体路径和操作步骤，用户可立即执行，完全符合预期。
[FAIL] raw_014585_336a2bb8 | 2/1 | 回复承诺今天送达，但用户问的是发货时间，且未提供任何可操作路径，属于错误引导和过度承诺。
[FAIL] raw_043192_b89cb5ed | 3/4 | 回复方向正确但缺乏具体可执行步骤，未体现尽快安排或催促动作，语气较生硬。
[FAIL] raw_003002_43117416 | 3/3 | 回复未提供具体物流动态，仅说预计今天送达，缺乏可操作信息。
[FAIL] raw_019783_c9b93a90 | 3/4 | 回复方向正确但缺乏具体可操作步骤，未给出如何找到大件商品券的明确路径。
[FAIL] raw_016366_9145024e | 3/3 | 未利用历史中两个订单的信息，仅泛泛回答，缺乏具体可执行步骤。
[FAIL] raw_048599_f9febd9c | 2/3 | 未利用历史中已安排上门换新的信息，反而让用户重新申请，且未说明配送员会联系约定时间，缺乏可执行路径。
[PASS] raw_056095_ad102e06 | 4/4 | 回复直接说明了发票邮寄时间，并引导查看订单详情页，具体可操作。
[FAIL] raw_001198_762b1226 | 2/2 | 未安抚用户着急情绪，未提供催促路径，且说未出库与预计明天送达矛盾，忽略历史信息。
[PASS] raw_006639_5f3f9745 | 5/5 | 直接回答缺货和预计发货时间，给出可操作建议，语气礼貌，无风险。
[FAIL] raw_034699_f6c8b789 | 2/2 | 回复仅索要订单号，未提供任何取消流程或可执行路径，不符合预期标准。
[PASS] raw_025447_7aac8e55 | 4/4 | 回复给出了安装流程的步骤，并指引查看安装指南或联系客服，具体可操作，但未提供预约短信等细节，略有不足。
[FAIL] raw_040714_f027f438 | 2/3 | 回复仅安抚未给出具体核查路径，未利用历史信息，缺乏可执行步骤。
[FAIL] raw_050373_074a0643 | 2/2 | 未区分换货与退款，未提供可执行路径，仅要求用户自行查看，缺乏实质性帮助。
[PASS] raw_021322_d547299d | 5/5 | 回复直接给出未出库和已出库两种方案，具体可操作，符合人工标准。
[PASS] raw_011080_0a3d577e | 4/4 | 回复确认了用户先测试原装线，并给出了后续路径（提供订单号提交售后），利用了历史信息，但未主动提及售后政策已说明，略有不足
[PASS] raw_041767_dcdbabc0 | 4/5 | 回复直接解决了用户问题，给出了等待和后续联系客服的具体路径，利用了历史信息，语气礼貌。
