Matched: 150, skipped (no annotation): 0
[PASS] raw_003471_3818c415 | 5/5 | 礼貌回应感谢，符合闲聊收尾场景，无风险，利用历史表达服务意愿。
[PASS] raw_028009_b9630665 | 5/5 | 简短礼貌收尾，符合闲聊场景，用户问题已解决。
[FAIL] raw_039961_13998282 | 3/3 | 回复未直接解决用户对正品的质疑，未提供防伪码等具体验证方法，仅建议查看说明书，缺乏可操作步骤。
[PASS] raw_003040_496db22f | 4/5 | 回复直接告知电子发票及自动开具，并提示在订单详情页查看，但未给出具体操作步骤，略有不足。
[PASS] raw_014585_336a2bb8 | 4/5 | 回复准确解释了预售商品发货时间，并引导查看订单详情页和联系客服，但未主动催促发货，略有不足。
[FAIL] raw_043192_b89cb5ed | 3/4 | 回复确认了送达时间，但未提供催促或加快的具体路径，缺乏可操作步骤，语气较生硬。
[PASS] raw_003002_43117416 | 4/4 | 回复给出了预计送达时间和查看物流的路径，具体可操作，语气礼貌。
[FAIL] raw_019783_c9b93a90 | 3/4 | 回复方向正确但缺乏具体可操作步骤，未给出如何领大件商品券的明确路径。
[FAIL] raw_016366_9145024e | 2/3 | 未利用历史中两个订单的信息，仅要求提供订单号，缺乏具体可执行路径。
[FAIL] raw_048599_f9febd9c | 3/4 | 回复给出了协商时间或放代收点的建议，但未利用历史中已安排上门换新的信息，未说明配送员会联系约定时间，缺乏具体可执行路径。
[FAIL] raw_056095_ad102e06 | 3/3 | 用户问发票邮寄时间，但回复说电子发票不邮寄，未直接回答邮寄时间，且未引导查看开票进度。
[FAIL] raw_001198_762b1226 | 3/3 | 未利用用户要回老家的紧迫感，未给出催促路径，仅建议关注物流，缺乏具体可操作步骤。
[PASS] raw_006639_5f3f9745 | 5/5 | 直接回答缺货和预计发货时间，给出查看路径，语气礼貌，无风险。
[FAIL] raw_034699_f6c8b789 | 2/3 | 回复仅索要订单号，未提供任何取消操作指引，不符合预期标准。
[PASS] raw_025447_7aac8e55 | 5/5 | 回复直接给出了安装流程的具体步骤和注意事项，用户可执行，准确且有帮助。
[FAIL] raw_040714_f027f438 | 3/3 | 回复仅安抚和承诺处理，未给出具体核查路径或可操作步骤，缺乏实质性帮助。
[FAIL] raw_050373_074a0643 | 3/3 | 回复未区分换货与退款差异，未明确换货不产生退款，缺乏具体操作步骤。
[PASS] raw_021322_d547299d | 4/4 | 回复区分了未出库和已出库两种情况，给出了可执行路径，但未提及转寄或代收，略有不足。
[PASS] raw_011080_0a3d577e | 4/5 | 回复确认用户测试原装线，并给出后续路径，利用历史信息，语气礼貌。
[PASS] raw_041767_dcdbabc0 | 4/4 | 回复直接解释了赠送天数生效时间，并引导查看，符合预期。
[FAIL] raw_058587_ab2fa9df | 3/3 | 回复过于简单，未说明正品保障和规则，缺乏具体可执行信息。
[FAIL] raw_020989_34781d3d | 3/4 | 回复方向正确但缺乏具体可操作步骤，未说明如何联系配送员协商，与人工预期标准有差距。
[PASS] dev_migrated_raw_019245_83bea3d7 | 5/5 | 回复礼貌收尾，确认问题解决，表达服务意愿，符合闲聊收尾场景。
[FAIL] raw_004780_f9a7dc5a | 3/4 | 回复方向正确但缺乏具体可操作步骤，如未说明退货时效、未利用历史信息给出主产品退货路径与安装服务的关联。
[FAIL] raw_061652_767318f8 | 3/3 | 回复方向正确但缺乏具体可执行路径，未明确告知如何申请补偿或查看赔付规则。
[FAIL] raw_012607_7e4e24f6 | 3/3 | 回复方向对但未提及补购安装服务，与人工标准不符，缺乏具体可操作步骤。
[FAIL] raw_041517_5b821275 | 2/2 | 回复未提供取消退款的具体操作路径，仅建议拒收，未引导正常收货或告知签收后自动驳回退款。
[FAIL] raw_041299_d1803c37 | 3/3 | 回复方向正确但缺乏具体可操作步骤，未提及订单详情页修改入口或联系配送员协商的具体方式。
[PASS] raw_033287_c94eea81 | 4/5 | 回复确认用户先测试，并给出后续售后路径，符合预期，利用历史信息。
[PASS] raw_008930_228bef92 | 5/5 | 直接说明无法修改尺寸，给出取消重下或收货后退换货的具体路径，符合预期标准。
[FAIL] raw_038557_c383691e | 2/2 | 回复未识别用户意图是套装商品价保，错误要求提供订单信息，未按规则说明不支持价保及替代方案。
[PASS] raw_029353_169ac2bc | 5/5 | 直接确认无货无法换货，给出退货退款建议和具体操作路径，准确且可执行。
[PASS] raw_013772_cb9c9b47 | 4/5 | 直接回答了用户问题，给出了可操作路径，但未提及自提点场景的特殊性。
[FAIL] raw_039617_2681385d | 3/3 | 回复未按预期引导确认收货后申请开票，缺乏具体可执行步骤。
[PASS] raw_034908_83283a91 | 4/4 | 回复直接解决了用户改地址需求，给出了可操作路径，但未明确提及在售后入口修改地址，略有不足。
[FAIL] raw_024356_c7546435 | 3/3 | 回复确认了价保规则，但未提供具体入口和审核说明，缺乏可操作步骤。
[PASS] raw_041351_549567ff | 4/4 | 回复解释了物流未更新的原因，给出了查看物流和联系快递的具体路径，语气礼貌，符合预期。
[PASS] raw_027499_3b1b89c9 | 4/5 | 回复直接给出预计补货时间，并建议查看商品页面或联系客服，具体可操作。
[PASS] raw_042908_227d242d | 4/4 | 回复利用了历史中配送员会提前联系的信息，主动备注延迟配送，但未提及站点暂存等具体方案，略有不足。
[PASS] raw_013069_de11265e | 5/5 | 礼貌回应感谢，并主动询问其他需求，符合闲聊收尾场景，利用历史信息恰当。
[PASS] raw_038944_905cfe76 | 4/4 | 回复直接解决了用户对拒收后果的疑问，提供了具体操作路径，语气礼貌，无风险编造。
[FAIL] raw_033111_791b25bd | 3/4 | 回复方向正确但缺乏具体可执行步骤，未提及联系配送员或拒收重下等关键操作。
[PASS] raw_028443_6bf0c528 | 4/4 | 回复利用了历史中撤销与送货同时发生的情况，给出了签收后自动取消或拒收的路径，具体可操作，但未明确说明退款申请会自动取消的
[FAIL] raw_047661_f9bc8214 | 2/3 | 回复仅询问原因，未提供取消订单的具体操作路径，用户无法直接解决问题。
[FAIL] raw_037393_5daac359 | 3/4 | 回复方向正确但缺乏具体操作指引，未说明如何查看订单详情页，用户仍不知具体步骤。
[PASS] raw_021560_20772742 | 5/5 | 直接区分未出库和已出库情况，给出具体操作路径，符合人工标准。
[PASS] raw_005032_c1cf7828 | 5/5 | 直接给出具体操作路径，利用历史确认漏发和地址不变，引导申请售后补发，符合预期。
[FAIL] raw_057014_d6c074d0 | 3/4 | 未利用历史中地址写错背景，未给出预计时效，缺乏具体可操作步骤。
[FAIL] raw_059879_6b9582f2 | 2/3 | 未确认发货仓库和预计送达时间，仅说尽快发货，缺乏具体可执行信息。
[FAIL] raw_002229_aefb8253 | 3/4 | 回复方向正确但缺乏具体可操作步骤，未利用历史中用户多次去提货点的信息给出联系站点优先配送或自提的路径。
[PASS] raw_054744_716c4e9b | 4/4 | 回复给出了查询费用和自提点的具体路径，但未说明费用通常免费，略有不足。
[FAIL] raw_032786_e467921d | 2/3 | 仅索要订单号，未提供任何可执行路径或售后入口，用户无法直接操作。
[FAIL] raw_032346_07a498c8 | 2/3 | 回复仅索要订单号，未提供任何实质性帮助或可执行路径，不符合人工标准中的引导核对包裹和售后流程。
[PASS] raw_047181_50b04889 | 4/5 | 回复直接解决了用户问题，给出了可执行路径，但未提及备选方案，略有不足。
[FAIL] raw_060484_3d70b1a8 | 2/3 | 未利用历史中用户强调中午封门和鲜花易损的关键信息，未给出具体可执行路径，仅重复无法保证时间。
[FAIL] raw_032673_9726b4d2 | 2/2 | 未利用历史中用户想补偿的诉求，未道歉，未建议售后流程，仅让看视频，缺乏可操作步骤。
